Tiempo(ns)	Valor
0,00015	-5638,81324641787
0,00025	-5511,59095225945
0,00035	-4934,224682225403
0,00045	-4830,111197133661
0,0005499999999999999	-4931,115313095658
0,00065	-4063,013473223309
0,00075	-3892,9446698085953
0,00085	-3428,538977050525
0,00095	-3021,9693012984344
0,00105	-3414,645610065746
0,00115	-3499,122212237934
0,00125	-3785,5488969616467
0,0013499999999999999	-3734,0594478611483
0,00145	-3900,8944498179067
0,00155	-3140,5640261054464
0,00165	-3104,2138657034566
0,0017499999999999998	-3450,312054535867
0,0018499999999999999	-3825,9305214150672
0,00195	-3322,78792666312
0,0020499999999999997	-3867,7863513158113
0,00215	-3583,866758533536
0,00225	-3552,2283412888646
0,00235	-3579,0106381394394
0,00245	-4247,03055767699
0,0025499999999999997	-3214,638325137911
0,00265	-3712,4584706936216
0,00275	-3811,8421033172017
0,0028499999999999997	-3641,0306567530356
0,00295	-3215,133742396423
0,0030499999999999998	-3396,00741822269
0,00315	-3673,6130005892464
0,00325	-3241,5587905278758
0,0033499999999999997	-3475,2710825876916
0,00345	-3486,537416030997
0,0035499999999999998	-3917,0965402086813
0,00365	-3699,98737399844
0,00375	-3228,8146985661483
0,0038499999999999997	-3680,0263223438565
0,0039499999999999995	-3418,8437811990943
0,00405	-3335,61487264041
0,00415	-3726,090366053932
0,0042499999999999994	-3918,1294309782143
0,00435	-3486,8023999640513
0,00445	-3663,668664582868
0,00455	-3900,1245891217422
0,00465	-3145,1281079695555
0,00475	-3882,199588255915
0,00485	-3567,981884742818
0,0049499999999999995	-3479,469536628738
0,00505	-3132,5863160233307
0,00515	-4098,657395312167
0,0052499999999999995	-3429,248438138811
0,00535	-3446,561247749169
0,00545	-3716,390510632325
0,005549999999999999	-4065,860301937419
0,00565	-3479,1991868750347
0,00575	-4130,195927151694
0,00585	-4004,149656607341
0,0059499999999999996	-4209,827781160744
0,00605	-2955,058341505907
0,00615	-3492,5276585939523
0,0062499999999999995	-3198,517384057331
0,00635	-3369,263760792341
0,00645	-3604,7851527001667
0,006549999999999999	-3482,883372342671
0,00665	-3416,6749658580097
0,00675	-3313,408265962912
0,006849999999999999	-3343,921088203474
0,00695	-3542,860046677341
0,00705	-3443,0465902689293
0,00715	-3822,8617405855316
0,0072499999999999995	-3520,5123888154126
0,00735	-3219,090705908685
0,00745	-2696,7222168045287
0,007549999999999999	-2535,171097360295
0,00765	-3298,801220930951
0,00775	-3163,7501031822567
0,00785	-3317,3476773121824
0,00795	-3258,726147397079
0,00805	-3363,227238004792
0,00815	-3343,990835462956
0,00825	-3101,8254244567383
0,00835	-3087,831936543099
0,00845	-3402,839576895076
0,00855	-3272,411897800597
0,00865	-2789,9967866616994
0,008749999999999999	-3363,5535843428333
0,00885	-2962,8238120361184
0,00895	-3098,942749687608
0,009049999999999999	-3395,256728065319
0,00915	-3380,917420506797
0,00925	-3711,9175923139783
0,009349999999999999	-3438,4131864757287
0,00945	-3174,7876808485967
0,00955	-3137,759308928573
0,009649999999999999	-3539,691840534958
0,00975	-3417,926021310727
0,00985	-3051,2130690156814
0,009949999999999999	-3996,096915290794
