Paso	Valor
0	292,3003
100	299,9898
200	299,0113
300	299,8958
400	298,8235
500	300,7401
600	303,4992
700	304,1601
800	302,9386
900	304,6504
1000	305,4571
1100	306,8939
1200	301,8301
1300	304,3179
1400	304,0546
1500	304,7833
1600	306,8584
1700	300,8662
1800	304,3541
1900	303,8548
2000	302,2256
2100	303,1111
2200	304,1040
2300	306,4119
2400	306,2928
2500	303,3771
2600	309,4983
2700	305,2219
2800	305,4306
2900	304,4373
3000	303,5844
3100	307,1866
3200	303,0228
3300	308,9975
3400	308,0474
3500	307,1562
3600	308,5868
3700	314,0268
3800	311,6587
3900	304,9393
4000	308,8360
4100	309,4242
4200	306,5415
4300	308,0373
4400	305,5572
4500	305,7756
4600	306,9003
4700	304,9361
4800	303,9418
4900	304,3831
5000	309,3837
5100	308,2119
5200	308,7899
5300	306,0501
5400	304,5653
5500	309,4305
5600	304,7312
5700	303,7544
5800	305,6930
5900	301,8169
6000	307,5781
6100	306,2453
6200	309,0842
6300	313,7790
6400	311,6362
6500	305,8061
6600	306,2442
6700	305,9500
6800	308,4197
6900	305,5546
7000	309,2913
7100	305,6383
7200	308,2530
7300	306,7112
7400	308,4532
7500	310,8295
7600	309,1594
7700	306,5841
7800	312,9671
7900	311,1283
8000	310,7750
8100	313,9795
8200	307,0162
8300	313,1682
8400	306,3905
8500	311,8688
8600	305,6552
8700	309,8510
8800	305,2784
8900	306,0607
9000	304,4651
9100	306,5032
9200	305,8334
9300	306,3753
9400	305,1764
9500	307,9913
9600	303,4211
9700	301,4094
9800	305,3366
9900	299,5498
10000	304,5325
